ID_PRODUCT,PROTITLE,PRODESCRIPTION,PRORELEASEDATE,PROPRICE,PRODISCOUNT,PROREWARDPERCENTAGE,PROREFUNDABLE
1,Reverse-engineered neutral conglomeration - Racing Game,Nation why phone design. Themselves lot rule pick site. Product add surface population political gun trip reflect.,2017-02-16,8.53,0.0,0,True
2,Virtual contextually-based Local Area Network - Indie Game,Cost tonight civil each environmental. Then far attorney still artist. Including true he arrive across machine.,2018-07-30,66.09,0.0,15,False
3,Adaptive uniform initiative - Fighting Game,Eight nice site city read shake democratic. You safe deal task. Later peace side relationship hospital they. Mean different law other pattern keep.,2025-05-24,8.12,0.57,,True
4,Sharable zero administration matrix - Indie Game,Less avoid relationship work Democrat guess. Push skill remember affect.,2023-01-29,49.59,0.0,5,False
5,Upgradable composite functionalities - Action Game,According rate then parent well Mrs. Majority issue him because hotel. Win increase population Congress detail along day skin.,2019-03-17,46.2,0.0,10,False
6,Operative upward-trending intranet - Shooter Game,Left natural front truth.,2017-11-19,5.89,0.0,,False
7,User-centric 3rdgeneration artificial intelligence - Adventure Game,Above past federal number. Manage evidence trial arrive western drug learn.,2022-01-17,24.66,0.0,20,True
8,Mandatory full-range groupware - Action Game,Stuff school upon number. Already wear quickly decide win rise single.,2016-10-04,27.11,0.0,10,False
9,Intuitive user-facing application - Puzzle Game,Mr wear hour oil everybody political. Mother society woman safe far campaign small. Especially head science force animal.,2020-01-16,26.23,0.0,15,True
10,Up-sized fresh-thinking database - Simulation Game,Approach up toward near throughout. Offer pressure production represent perhaps concern how. Toward too end.,2025-01-05,49.77,0.0,,False
11,Upgradable client-driven adapter - Fighting Game,Republican with ten break difference woman herself Mr. Understand lay environment.,2024-09-12,43.23,0.0,,True
12,Diverse foreground knowledge user - Strategy Game,Effort in different radio. Environmental mission thus paper hear.,2021-10-19,5.12,0.0,,True
13,Sharable holistic info-mediaries - Strategy Game,Or effort deep become. End positive fact local. Poor finally process six. Your occur approach none none yes poor.,2023-11-19,25.79,0.0,0,False
14,Multi-lateral background moratorium - Horror Game,Many form beyond south various until effort. When forward politics low.,2022-01-09,44.14,0.0,0,False
15,Right-sized 4thgeneration extranet - Puzzle Game,Test eight until memory air hand. Can next skin culture skin sense something. Moment huge car.,2022-12-02,47.85,0.0,,False
16,Synergistic hybrid workforce - MMORPG Game,Energy leave beyond kind science. Move fine behind arrive hear.,2018-05-24,57.77,0.0,5,True
17,Organized well-modulated frame - Indie Game,Unit rate response toward already. Line phone already early environmental often pass.,2021-12-29,19.52,0.0,,True
18,Front-line directional alliance - MMORPG Game,Argue current situation back nothing. Tree dinner could attention from. Long book TV idea. Close scene age sort however.,2023-08-09,13.96,0.0,10,False
19,Reduced user-facing instruction set - Action Game,Education base road important.,2019-03-30,53.14,0.09,,False
20,Synergized high-level initiative - Sports Game,Own then large wear go require follow wife. Stage top bank trip.,2020-09-24,12.99,0.0,,False
21,Proactive leadingedge product - Shooter Game,Individual chair word century. Size culture its wind. Charge book rate more. This glass blood local create whole.,2018-01-26,68.93,0.0,15,False
22,Cross-platform needs-based neural-net - Fighting Game,Discussion become note lead safe. Gas American thousand writer behind. Measure single ability approach. Message us drive reduce property focus.,2016-01-17,28.11,0.67,10,False
23,Organic attitude-oriented array - Indie Game,Small much better so school would rule explain. Administration until score magazine.,2021-09-30,13.59,0.0,,False
24,Team-oriented hybrid ability - Casual Game,Painting anyone individual often national. Degree ball the.,2017-02-12,62.03,0.0,,True
25,Seamless global concept - Simulation Game,Participant several high environmental if well employee. Especially grow father other person head in true. Stay participant into paper both.,2021-07-19,8.0,0.0,,False
26,Optional asymmetric conglomeration - MMORPG Game,This generation because with value. Politics writer after sometimes.,2016-06-21,12.48,0.0,15,False
27,Persevering multi-state extranet - Adventure Game,Somebody miss mission condition how space. Court similar improve low bank civil why.,2022-01-11,22.55,0.67,,True
28,Expanded zero administration neural-net - Simulation Game,Think out hard. Range commercial suddenly ball.,2024-07-15,26.5,0.0,,False
29,Right-sized radical leverage - Action Game,Analysis get ahead line actually plant ground. Lead deal herself yard picture attention. Little once explain.,2019-05-28,5.02,0.53,,True
30,Sharable hybrid artificial intelligence - Simulation Game,Scientist table certain care. Cell keep between hard picture. Practice from blood want imagine current loss.,2024-08-02,37.24,0.3,0,False
31,Configurable logistical ability - Sports Game,Less coach out exactly.,2017-08-15,57.42,0.0,,True
32,Future-proofed content-based extranet - Strategy Game,Shake ready simple I bed clear and. Process human wear former whose although treatment. Walk imagine future your blue admit central.,2022-08-28,10.34,0.0,0,True
33,Multi-lateral web-enabled artificial intelligence - Sports Game,Bit spring cause Democrat represent available create other. Site quite become TV realize nothing music. Black song thought south event.,2018-10-19,24.87,0.0,0,False
34,Decentralized fresh-thinking Local Area Network - Horror Game,Per treat me PM. Whether whether business rich.,2017-06-22,23.91,0.02,0,True
35,Virtual leadingedge task-force - MMORPG Game,Indeed later exactly enough side. Ball push minute rock. Get realize experience various television.,2023-09-15,56.66,0.71,,False
36,Fully-configurable real-time website - Adventure Game,Grow take job.,2023-04-17,15.18,0.51,10,True
37,Secured incremental process improvement - Simulation Game,Thus most must mean through remain run consumer. If final pick factor especially.,2018-08-22,15.95,0.0,20,True
38,Multi-channeled non-volatile concept - Action Game,Game size environmental former owner. Organization song subject region throw second activity some.,2018-08-11,48.05,0.0,0,False
39,Integrated non-volatile circuit - Horror Game,Community fall hotel care now animal hotel. Sea friend response base while help. Play bring end plan.,2019-10-05,33.01,0.32,5,True
40,Open-architected full-range complexity - Casual Game,Usually century note society. Study red dream pay step degree. Final easy music represent.,2024-09-23,11.37,0.0,10,True
41,Inverse fault-tolerant alliance - Action Game,Star civil that huge the many. Speak bad PM of live style focus.,2020-04-19,65.43,0.0,0,True
42,Horizontal dedicated emulation - Sports Game,Single less weight new service majority. High guy society heavy mouth. Letter career culture success religious including win. Level I partner.,2018-10-17,68.69,0.0,,False
43,Open-architected reciprocal support - Platformer Game,Protect single black threat. Property wonder have both professor similar west.,2021-12-25,58.08,0.16,15,False
44,Inverse dynamic open system - Fighting Game,Woman ball goal bring time second scene fall. Program nearly training collection after take can of.,2023-11-29,33.36,0.0,5,False
45,Universal bi-directional productivity - Fighting Game,Song business bring.,2015-09-05,31.84,0.0,,True
46,Right-sized optimizing time-frame - Adventure Game,Many traditional stage.,2017-06-28,32.78,0.0,,True
47,Compatible radical approach - Horror Game,Political dark despite with safe star. Level five music debate.,2018-06-07,5.8,0.15,,False
48,Virtual empowering installation - Puzzle Game,Commercial cup public change statement seek. Analysis particularly it factor property. Fish force compare law practice technology.,2024-10-31,68.01,0.0,,False
49,Centralized tangible framework - Indie Game,Draw nice read sometimes purpose. Specific consumer turn. Blood site upon.,2023-07-10,20.66,0.53,20,True
50,Multi-layered leadingedge access - Shooter Game,Near always itself it recognize. Less early good arm less attorney anyone.,2019-01-12,25.71,0.0,10,False
51,Visionary full-range software - Indie Game,Truth cultural wind ok move. Certain deep response director.,2015-06-09,60.55,0.34,20,False
52,Synergized responsive architecture - Adventure Game,Officer word anything list. Foot art protect maybe team page. Act fast music learn reason dream pretty station.,2019-02-22,5.08,0.0,,True
53,Front-line needs-based model - Adventure Game,Involve tree speak with heart. Born up from something audience action without sing. Study purpose involve student country while we. Indeed worry control wind.,2024-10-02,13.92,0.0,20,True
54,Enhanced global orchestration - Strategy Game,Three tend a doctor cover job key. Vote character form everybody herself win into.,2018-12-05,33.89,0.0,5,False
55,Optional mobile throughput - MMORPG Game,Most from treatment nothing reality. Reduce question too end call husband major.,2022-08-08,16.24,0.0,10,True
56,Front-line exuding open system - Indie Game,Serious hard question far president apply entire laugh. Marriage step truth present. Beyond event along.,2025-01-21,29.98,0.3,20,True
57,Object-based full-range open system - Simulation Game,Street fast mention factor week site how. Smile save actually area.,2016-12-27,20.72,0.0,20,False
58,Streamlined intangible algorithm - RPG Game,Build study page line news bank perhaps. Unit so customer recently central. Involve near safe old sound. Model employee education something.,2016-11-14,66.15,0.0,20,True
59,Triple-buffered modular Local Area Network - Strategy Game,Bag author medical. Technology compare middle happy. Wear hand newspaper money perhaps war bit.,2025-01-15,20.34,0.63,15,True
60,Sharable client-driven migration - Horror Game,West explain throughout law southern likely. Bad sense each.,2018-09-30,63.81,0.0,20,False
61,Persevering discrete service-desk - Casual Game,Moment opportunity such from. Same seven reduce senior about remain upon early. Ball let treatment deal.,2024-03-25,42.64,0.5,15,True
62,Realigned reciprocal ability - Fighting Game,Region floor present a avoid real. Democrat mother message already benefit. Computer moment only kitchen among.,2019-07-07,64.93,0.0,,False
63,Team-oriented reciprocal emulation - Casual Game,Sister prevent name particular value. Sister everything director part per might. Subject before house member.,2022-10-24,28.81,0.11,5,True
64,Reduced clear-thinking project - Simulation Game,On agree yourself or program about. Nation must real way coach suggest tend nearly. Western establish join kid perhaps structure.,2024-04-15,10.13,0.35,5,False
65,Cross-platform user-facing ability - Platformer Game,Glass writer week you main raise. Itself system Republican list town century. Nearly thing happen gun.,2022-04-26,67.41,0.0,15,False
66,Visionary full-range open system - Fighting Game,Region form character family yard role buy. Daughter successful sort seven pick. Walk nearly writer president.,2017-06-23,68.88,0.0,0,True
67,Persevering modular open system - Sports Game,Line bar data measure whatever art number. Model own month take. Detail bar under country issue line participant.,2024-08-08,56.42,0.0,10,True
68,Persevering fresh-thinking alliance - Indie Game,Window response together machine final much. Those own parent. North young happen office kind participant.,2017-12-05,28.58,0.0,20,False
69,Compatible optimal encoding - Fighting Game,Cell key consumer civil specific consider. Bag bill child hold Democrat. Surface decision thank goal yes sense prevent.,2016-03-12,32.99,0.52,20,True
70,Down-sized systematic hardware - MMORPG Game,Physical expert leave term. Though debate stay meet.,2018-03-19,60.74,0.19,,False
71,Cross-group bifurcated paradigm - Simulation Game,Open traditional nice less oil control throw. Half hot environment magazine clear.,2024-07-27,64.99,0.51,,True
72,Public-key radical encoding - Puzzle Game,Sister decide throughout inside dinner. International sort coach how main he.,2021-02-02,55.2,0.0,,False
73,Function-based secondary emulation - Sports Game,Capital use expect training audience impact.,2023-08-01,60.44,0.0,15,False
74,Ergonomic homogeneous capacity - Platformer Game,Style keep leave behind bar skin vote. Too room account nation really me business.,2024-03-09,24.38,0.0,10,False
75,Adaptive multi-state matrices - Sports Game,Family must hot. Administration can coach.,2022-03-10,54.79,0.0,15,True
76,Optional exuding matrices - Strategy Game,Many bank sure manage floor spring national. Table ten dream beat American between. Understand water newspaper baby.,2016-11-29,31.65,0.0,20,False
77,Expanded explicit utilization - Casual Game,Rather interview tree father contain really.,2016-11-04,7.19,0.0,0,False
78,Team-oriented incremental migration - Horror Game,Campaign involve region relationship white front institution off. Daughter movie question behavior prepare body option start. Nothing deep get relationship.,2023-12-02,66.06,0.58,10,False
79,Optional clear-thinking application - Indie Game,Billion design risk military fish front. Would member send million time political.,2025-03-01,32.55,0.67,5,True
80,Organic reciprocal superstructure - Action Game,Government door position best. Rather share democratic spring pass half whatever decade. Road rise experience.,2016-07-14,8.33,0.53,,True
81,Robust demand-driven encoding - RPG Game,Show change method. Student model understand fund matter increase lawyer.,2016-05-06,30.77,0.56,15,True
82,Diverse stable infrastructure - Action Game,That challenge raise whose Republican approach she. Buy born my point near charge interesting. After value part reflect argue determine voice.,2015-08-02,47.53,0.0,10,False
83,Multi-tiered web-enabled budgetary management - Simulation Game,Bed health poor up young pick animal. His son president pressure. Strong voice tell range garden moment sing worry.,2018-09-16,19.82,0.0,10,True
84,Secured user-facing help-desk - Strategy Game,Dog east capital little wind source. Artist final apply together.,2020-08-19,34.1,0.18,,False
85,Triple-buffered maximized frame - Simulation Game,Upon at event price near. Others stop TV myself.,2020-12-09,41.27,0.0,,True
86,Innovative motivating frame - Indie Game,Town financial city let provide stay. Everything bill ever several.,2022-05-26,24.19,0.0,10,False
87,Persistent exuding instruction set - RPG Game,Model former value space message. World unit head thought strong front none.,2022-01-08,32.43,0.52,10,False
88,Compatible explicit projection - Strategy Game,Short knowledge why pass other. Radio change fight beyond.,2017-11-19,36.9,0.36,15,False
89,Inverse transitional hierarchy - Simulation Game,Keep speak number third. Action magazine one agree.,2018-10-13,60.09,0.0,15,False
90,Grass-roots neutral Internet solution - Casual Game,Court country water wall. Their store turn hair television start hit. Front the figure seem. Way magazine company.,2021-04-07,63.66,0.0,,False
91,User-centric clear-thinking standardization - Indie Game,Need member friend after. Phone positive argue camera win new cell.,2021-07-16,57.67,0.0,10,False
92,Decentralized client-server software - Platformer Game,Five occur stay us might. Admit media assume job population material treat letter. Article increase several.,2023-07-24,40.83,0.27,,False
93,Front-line fault-tolerant time-frame - Fighting Game,Force meeting country morning stuff walk. Simply left style development administration fast position.,2015-09-15,41.68,0.0,,True
94,Vision-oriented cohesive application - Strategy Game,Fast remember senior politics available between cost.,2023-09-20,16.77,0.4,,False
95,Programmable didactic ability - Simulation Game,Everybody group would my bag reflect assume. Point year mind analysis player low spring.,2020-11-03,24.5,0.0,0,False
96,Exclusive fresh-thinking conglomeration - Simulation Game,Leave among hotel member create sing. Than expert nature show hand lot. Share arrive land water suddenly affect.,2018-08-28,35.66,0.0,,False
97,Innovative intermediate encryption - Shooter Game,College rest movie debate attorney contain question. Matter sound red.,2025-04-13,57.19,0.0,0,True
98,Innovative directional installation - Horror Game,Growth along eat condition study without challenge. Become sport window human.,2018-05-17,63.69,0.49,10,False
99,Versatile upward-trending infrastructure - Puzzle Game,Practice page up they. Learn public range fish several.,2024-07-24,28.99,0.12,,False
100,Enterprise-wide motivating hierarchy - Platformer Game,Free company audience space. Capital game seem almost political. Nice mission drive do. Onto chair receive across.,2016-10-11,60.0,0.0,20,True
101,Distributed leadingedge encoding - Action Game,Total service help. Accept factor low. Such instead better myself difference.,2021-11-04,56.22,0.0,20,True
102,Multi-layered zero tolerance portal - MMORPG Game,Away beat discover real agency consider coach. Despite expert knowledge teacher.,2023-01-10,58.51,0.1,20,True
103,Enhanced solution-oriented archive - Sports Game,Name few partner voice.,2017-03-13,32.19,0.0,15,False
104,Optional didactic process improvement - Adventure Game,Each road statement administration country imagine. Former ask over too administration teacher wind.,2018-03-28,15.62,0.0,15,True
105,Cross-group mobile architecture - Strategy Game,Travel send important us adult information. Stay quality close cold treatment up cold. Sell lay remain order along.,2020-12-06,44.1,0.0,5,False
106,Automated 24/7 ability - Shooter Game,Collection dark daughter section lose decide discussion.,2018-05-27,44.94,0.0,,True
107,Re-contextualized 6thgeneration implementation - Sports Game,Pay one growth pull future out chair medical. Information take minute. Rest care subject soon office resource parent.,2016-10-16,15.32,0.0,,False
108,Re-contextualized systematic alliance - Horror Game,Yet Congress best maintain call. Bar speak commercial list rate forget. Fine director born suggest.,2020-06-13,12.72,0.0,,False
109,Persevering contextually-based algorithm - Casual Game,Job option see effect cut series. Movement create success meet find employee finally.,2017-10-20,28.49,0.0,0,True
110,Face-to-face discrete methodology - Sports Game,He interest cell. Need clearly discussion as drop pull. Store character officer throughout side involve everything.,2024-02-09,29.24,0.0,20,True
111,Assimilated tangible help-desk - Fighting Game,Subject realize why good finally agreement. Hair perform you. Morning reach sing issue green weight bit.,2018-07-03,5.34,0.0,10,False
112,Devolved composite alliance - Casual Game,Friend still have good part. Natural lot early story theory.,2022-09-18,49.3,0.0,10,False
113,Down-sized homogeneous methodology - Puzzle Game,Have bring away well. Reality white similar wonder.,2018-09-05,30.0,0.0,,True
114,Business-focused radical secured line - Fighting Game,This now ask station benefit idea. Crime parent over today hundred attorney find.,2015-10-12,9.36,0.0,15,True
115,Cross-platform empowering framework - Horror Game,Result green operation work western hair. Realize question scientist detail develop.,2018-05-30,38.2,0.0,,True
116,Persistent executive algorithm - Sports Game,All whose success party Mrs treat through. Summer mouth yeah serious over beat tonight room. Arrive somebody pattern listen from heavy.,2015-09-21,65.72,0.0,,True
117,Fundamental even-keeled access - Simulation Game,Democrat instead visit measure administration send also. Same watch I out man old PM.,2021-06-04,23.42,0.25,,False
118,Managed didactic productivity - Platformer Game,Professor just well scene memory ago discuss. Both last activity design. Start blue film think right throughout quite.,2023-12-30,12.61,0.0,,True
119,Cross-group real-time protocol - Indie Game,Across car into realize down student. Democrat area possible stock science final. Out magazine their or stuff.,2018-05-21,55.87,0.15,20,False
120,Mandatory encompassing core - Fighting Game,Second member it expert understand knowledge leg. Doctor life half and spring.,2017-01-27,35.0,0.0,,False
121,Adaptive directional installation - Casual Game,Four far factor head bed message.,2021-11-17,38.19,0.68,15,True
122,Reverse-engineered bi-directional website - Platformer Game,Draw sign add history challenge wife bank. Serve which one.,2016-11-27,55.57,0.0,,False
